source,song_id,title,artists,reason
sp2023,1330,Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",same song as a more complete/higher-streamed row in the same file
sp2023,2346,Levitating,Dua Lipa,same song as a more complete/higher-streamed row in the same file
sp2023,143,About Damn Time,Lizzo,same song as a more complete/higher-streamed row in the same file
sp2023,3861,SPIT IN MY FACE!,ThxSoMch,same song as a more complete/higher-streamed row in the same file
sp2023,4021,Take My Breath,The Weeknd,same song as a more complete/higher-streamed row in the same file
sp2023,3782,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",same song as a more complete/higher-streamed row in the same file
sp2023,2158,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",same song as a more complete/higher-streamed row in the same file
sp2023,3774,SNAP,Rosa Linn,same song as a more complete/higher-streamed row in the same file
sp2024,771,Calm Down (with Selena Gomez),Rema,same song as a more complete/higher-streamed row in the same file
sp2024,1634,Girls Like You,Maroon 5,same song as a more complete/higher-streamed row in the same file
sp2024,1116,Dial Drunk (with Post Malone),Noah Kahan,same song as a more complete/higher-streamed row in the same file
sp2024,2346,Levitating,Dua Lipa,same song as a more complete/higher-streamed row in the same file
sp2024,1365,Essence (feat. Justin Bieber & Tems),Wizkid,same song as a more complete/higher-streamed row in the same file
sp2024,2887,Never Lose Me (feat. Lil Yachty),Flo Milli,same song as a more complete/higher-streamed row in the same file
sp2024,4020,Take Me to Church,Hozier,same song as a more complete/higher-streamed row in the same file
sp2024,2326,Let Her Go,Passenger,same song as a more complete/higher-streamed row in the same file
sp2024,4658,XO Tour Llif3,Lil Uzi Vert,same song as a more complete/higher-streamed row in the same file
sp2024,3604,See You Again (feat. Charlie Puth),Wiz Khalifa,same song as a more complete/higher-streamed row in the same file
sp2024,2673,Me Reh�,Danny Ocean,same song as a more complete/higher-streamed row in the same file
sp2024,4726,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,same song as a more complete/higher-streamed row in the same file
sp2024,3774,SNAP,Rosa Linn,same song as a more complete/higher-streamed row in the same file
sp2024,4028,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,same song as a more complete/higher-streamed row in the same file
sp2024,64,"10,000 Hours (with Justin Bieber)",Dan + Shay,same song as a more complete/higher-streamed row in the same file
sp2024,417,Bad and Boujee (feat. Lil Uzi Vert),Migos,same song as a more complete/higher-streamed row in the same file
sp2024,1028,Dance The Night,Dua Lipa,same song as a more complete/higher-streamed row in the same file
sp2024,852,Cheap Thrills,Sia,same song as a more complete/higher-streamed row in the same file
sp2024,810,Casanova,Soolking,same song as a more complete/higher-streamed row in the same file
sp2024,3964,Sunroof,Nicky Youre,same song as a more complete/higher-streamed row in the same file
sp2024,1330,Enemy - from the series Arcane League of Legends,Imagine Dragons,same song as a more complete/higher-streamed row in the same file
sp2024,4261,Too Sweet,Hozier,same song as a more complete/higher-streamed row in the same file
sp2024,1502,First Person Shooter (feat. J. Cole),Drake,same song as a more complete/higher-streamed row in the same file
